INFO:root:Starting EM-Lab Run
INFO:root:emlab database: sqlite:///C:\Users\isanchezjimene\Documents\TraderesCode\toolbox-amiris-emlab\.spinetoolbox\items\emlabdb\EmlabDB.sqlite
INFO:root:SpineDBRW: Start Read Repository
WARNING:root:No value found for class: node, object: LNG, parameter: annual_resource_limit
WARNING:root:No value found for class: node, object: bioliquids, parameter: annual_resource_limit
WARNING:root:No value found for class: node, object: electricity, parameter: annual_resource_limit
WARNING:root:No value found for class: node, object: hard_coal, parameter: annual_resource_limit
WARNING:root:No value found for class: node, object: heavy_oil, parameter: annual_resource_limit
WARNING:root:No value found for class: node, object: hydrogen, parameter: annual_resource_limit
WARNING:root:No value found for class: node, object: light_oil, parameter: annual_resource_limit
WARNING:root:No value found for class: node, object: lignite, parameter: annual_resource_limit
WARNING:root:No value found for class: node, object: natural_gas, parameter: annual_resource_limit
WARNING:root:No value found for class: node, object: nuclear, parameter: annual_resource_limit
WARNING:root:No value found for class: node, object: oil_shale, parameter: annual_resource_limit
WARNING:root:No value found for class: node, object: processing_residues, parameter: annual_resource_limit
WARNING:root:No value found for class: node, object: wood_pellets, parameter: annual_resource_limit
WARNING:root:No value found for class: node, object: bioliquids, parameter: co2_price
WARNING:root:No value found for class: node, object: biomethane, parameter: co2_price
WARNING:root:No value found for class: node, object: collectable_residues, parameter: co2_price
WARNING:root:No value found for class: node, object: electricity, parameter: co2_price
WARNING:root:No value found for class: node, object: hydrogen, parameter: co2_price
WARNING:root:No value found for class: node, object: nuclear, parameter: co2_price
WARNING:root:No value found for class: node, object: processing_residues, parameter: co2_price
WARNING:root:No value found for class: node, object: wood_pellets, parameter: co2_price
WARNING:root:No value found for class: node, object: LNG, parameter: demand
WARNING:root:No value found for class: node, object: bioliquids, parameter: demand
WARNING:root:No value found for class: node, object: biomethane, parameter: demand
WARNING:root:No value found for class: node, object: collectable_residues, parameter: demand
WARNING:root:No value found for class: node, object: hard_coal, parameter: demand
WARNING:root:No value found for class: node, object: heavy_oil, parameter: demand
WARNING:root:No value found for class: node, object: hydrogen, parameter: demand
WARNING:root:No value found for class: node, object: light_oil, parameter: demand
WARNING:root:No value found for class: node, object: lignite, parameter: demand
WARNING:root:No value found for class: node, object: natural_gas, parameter: demand
WARNING:root:No value found for class: node, object: nuclear, parameter: demand
WARNING:root:No value found for class: node, object: oil_shale, parameter: demand
WARNING:root:No value found for class: node, object: processing_residues, parameter: demand
WARNING:root:No value found for class: node, object: wood_pellets, parameter: demand
WARNING:root:No value found for class: node, object: LNG, parameter: price
WARNING:root:No value found for class: node, object: electricity, parameter: price
WARNING:root:No value found for class: node, object: hard_coal, parameter: price
WARNING:root:No value found for class: node, object: heavy_oil, parameter: price
WARNING:root:No value found for class: node, object: hydrogen, parameter: price
WARNING:root:No value found for class: node, object: light_oil, parameter: price
WARNING:root:No value found for class: node, object: lignite, parameter: price
WARNING:root:No value found for class: node, object: natural_gas, parameter: price
WARNING:root:No value found for class: node, object: nuclear, parameter: price
WARNING:root:No value found for class: node, object: oil_shale, parameter: price
WARNING:root:No value found for class: node, object: electricity, parameter: price2020
WARNING:root:No value found for class: node, object: electricity, parameter: price2040
WARNING:root:No value found for class: Fuels, object: bioliquids, parameter: co2Density
WARNING:root:No value found for class: Fuels, object: biomethane, parameter: co2Density
WARNING:root:No value found for class: Fuels, object: electricity, parameter: co2Density
WARNING:root:No value found for class: Fuels, object: heavy_oil, parameter: co2Density
WARNING:root:No value found for class: Fuels, object: hydrogen, parameter: co2Density
